,GEOIDFQ,median_household_income,owner_occupied_units,renter_occupied_units,state,county,TRACTCE,year
339,1400000US48029191409,51111,1906,5380,48,029,191409,2023
340,1400000US48029191410,45333,745,5333,48,029,191410,2023
341,1400000US48029191411,66566,1865,2781,48,029,191411,2023
342,1400000US48029191412,209832,2258,15,48,029,191412,2023
343,1400000US48029191413,77695,3446,2509,48,029,191413,2023
344,1400000US48029191503,105091,4044,1018,48,029,191503,2023
345,1400000US48029191504,198780,2982,0,48,029,191504,2023
346,1400000US48029191505,135313,2070,24,48,029,191505,2023
347,1400000US48029191506,100000,3417,2074,48,029,191506,2023
348,1400000US48029191701,145795,1345,135,48,029,191701,2023
349,1400000US48029191702,110982,4803,2877,48,029,191702,2023
350,1400000US48029191804,170658,12345,16,48,029,191804,2023
351,1400000US48029191806,184922,6417,1620,48,029,191806,2023
352,1400000US48029191807,74882,5000,5268,48,029,191807,2023
353,1400000US48029191808,113723,3458,1985,48,029,191808,2023
354,1400000US48029191809,167156,7418,703,48,029,191809,2023
355,1400000US48029191810,89764,4577,2297,48,029,191810,2023
356,1400000US48029191811,124008,4095,855,48,029,191811,2023
357,1400000US48029191812,142235,3686,264,48,029,191812,2023
358,1400000US48029191813,120845,5932,935,48,029,191813,2023
359,1400000US48029191814,119681,5113,722,48,029,191814,2023
360,1400000US48029191815,102143,3429,1029,48,029,191815,2023
361,1400000US48029191816,117756,2205,1102,48,029,191816,2023
362,1400000US48029191818,66493,2081,4045,48,029,191818,2023
363,1400000US48029191819,125000,6334,4571,48,029,191819,2023
364,1400000US48029191900,79032,2210,1645,48,029,191900,2023
365,1400000US48029192000,42917,1289,3003,48,029,192000,2023
366,1400000US48029192100,118449,1535,1081,48,029,192100,2023
367,1400000US48029192200,59692,119,2723,48,029,192200,2023
368,1400000US48029192300,83750,3078,1993,48,029,192300,2023
369,1400000US48029980001,-666666666,0,0,48,029,980001,2023
370,1400000US48029980002,-666666666,0,0,48,029,980002,2023
371,1400000US48029980003,66750,4,771,48,029,980003,2023
372,1400000US48029980004,-666666666,0,0,48,029,980004,2023
373,1400000US48029980005,163750,41,0,48,029,980005,2023
374,1400000US48029980100,56705,0,757,48,029,980100,2023
