,GEOIDFQ,median_household_income,owner_occupied_units,renter_occupied_units,median_home_value,state,county,TRACTCE,year,owner_renter_ratio
171,1400000US48029191201,52381,2479,651,155400.0,48,029,191201,2012,3.8079877112135176
172,1400000US48029191202,47528,2510,2282,154900.0,48,029,191202,2012,1.0999123575810692
173,1400000US48029190604,36792,3144,1154,75100.0,48,029,190604,2012,2.7244367417677644
174,1400000US48029191303,67746,1067,378,169700.0,48,029,191303,2012,2.822751322751323
175,1400000US48029191304,32346,698,1895,119700.0,48,029,191304,2012,0.3683377308707124
176,1400000US48029191410,29442,631,4291,139400.0,48,029,191410,2012,0.14705196923793987
177,1400000US48029121122,82543,4690,693,150900.0,48,029,121122,2012,6.767676767676767
178,1400000US48029121605,60260,1574,759,103000.0,48,029,121605,2012,2.0737812911725957
179,1400000US48029121606,47570,2658,2323,99800.0,48,029,121606,2012,1.1442100731812312
180,1400000US48029121702,81131,4878,1565,177800.0,48,029,121702,2012,3.116932907348243
181,1400000US48029121808,77536,2514,647,139300.0,48,029,121808,2012,3.885625965996909
182,1400000US48029121809,66504,3957,592,127500.0,48,029,121809,2012,6.684121621621622
183,1400000US48029121810,73256,3914,792,140800.0,48,029,121810,2012,4.941919191919192
184,1400000US48029121811,75563,4263,812,168000.0,48,029,121811,2012,5.25
185,1400000US48029121812,65247,4786,754,139100.0,48,029,121812,2012,6.347480106100796
186,1400000US48029121813,59808,1188,355,116700.0,48,029,121813,2012,3.3464788732394366
187,1400000US48029121903,103411,4390,687,212200.0,48,029,121903,2012,6.390101892285299
188,1400000US48029121904,119931,3326,441,203800.0,48,029,121904,2012,7.541950113378685
189,1400000US48029121905,112477,3629,1117,344000.0,48,029,121905,2012,3.2488809310653535
190,1400000US48029121906,89195,3553,1488,195300.0,48,029,121906,2012,2.387768817204301
191,1400000US48029181809,42773,3750,2323,98000.0,48,029,181809,2012,1.6142918639690056
192,1400000US48029182101,115951,6221,339,343300.0,48,029,182101,2012,18.35103244837758
193,1400000US48029190601,30897,2343,1398,70400.0,48,029,190601,2012,1.6759656652360515
194,1400000US48029191004,31318,1432,2565,93300.0,48,029,191004,2012,0.5582846003898635
195,1400000US48029181302,43291,2274,3463,124300.0,48,029,181302,2012,0.6566560785446145
196,1400000US48029180902,44678,4333,3861,87000.0,48,029,180902,2012,1.1222481222481222
197,1400000US48029181003,36014,384,5593,91100.0,48,029,181003,2012,0.0686572501340962
198,1400000US48029181005,26480,170,3419,138000.0,48,029,181005,2012,0.04972214097689383
199,1400000US48029181506,36423,2534,1944,119900.0,48,029,181506,2012,1.3034979423868314
200,1400000US48029181715,50525,4842,1849,95800.0,48,029,181715,2012,2.6187128177393184
201,1400000US48029181808,41424,219,1029,253100.0,48,029,181808,2012,0.21282798833819241
202,1400000US48029182102,114423,6019,784,293900.0,48,029,182102,2012,7.677295918367347
203,1400000US48029191101,101136,1395,148,230300.0,48,029,191101,2012,9.425675675675675
204,1400000US48029191406,119140,5899,1071,284900.0,48,029,191406,2012,5.507936507936508
205,1400000US48029191408,33407,166,2837,132500.0,48,029,191408,2012,0.05851251321818823
